City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,berezovyy,51.6667,135.7,-11.05,57,7,2.52,RU,1699738902
126,bugana,7.9992,7.5836,27.18,69,23,2.14,NG,1699738903
127,tahoua,14.8888,5.2692,28.99,16,0,2.06,NE,1699738903
128,al bawiti,28.3492,28.8659,20.63,64,96,0.45,EG,1699738444
131,usogorsk,63.4106,48.6872,0.37,96,99,2.05,RU,1699738904
134,novomyrhorod,48.7811,31.642,11.37,93,100,6.11,UA,1699738905
135,mejit,10.2753,170.8646,28.08,80,100,7.44,MH,1699738631
136,chabahar,25.2919,60.643,25.49,57,100,1.3,IR,1699738905
137,georgetown,5.4112,100.3354,25.57,97,20,1.03,MY,1699738443
139,juneau,58.3019,-134.4197,4.67,97,100,3.09,US,1699738679
140,mersa matruh,31.3525,27.2453,20.11,77,40,0.0,EG,1699738906
141,kattivakkam,13.2167,80.3167,27.82,73,94,3.84,IN,1699738906
142,udachny,66.4167,112.4,-9.75,85,84,5.65,RU,1699738487
144,hola prystan',46.5206,32.5258,13.58,89,86,6.94,UA,1699738906
146,ola,59.5833,151.2833,-18.21,82,9,4.71,RU,1699738485
147,yukhnov,54.7444,35.2297,6.32,90,100,5.15,RU,1699738907
148,pathein,16.7833,94.7333,24.29,88,31,1.62,MM,1699738907
149,tazovsky,67.4667,78.7,-4.16,96,100,5.43,RU,1699738640
151,talnakh,69.4865,88.3972,-6.55,94,100,4.31,RU,1699738501
152,magadan,59.5667,150.8,-18.36,80,2,3.89,RU,1699738607
153,qaqortoq,60.7167,-46.0333,-3.26,70,54,4.11,GL,1699738419
154,stanley,54.868,-1.6985,4.6,95,75,1.03,GB,1699738449
155,kosh-agach,50.0,88.6667,-8.72,94,97,0.45,RU,1699738908
156,newman,37.3138,-121.0208,21.8,37,68,1.34,US,1699738377
158,klyuchi,52.2667,79.1667,4.2,80,100,5.45,RU,1699738457
159,kurumkan,54.3,110.3,-9.37,71,42,0.45,RU,1699738909
161,hasaki,35.7333,140.8333,10.22,74,100,6.9,JP,1699738569
162,fort st. john,56.2499,-120.8529,4.94,60,75,5.66,CA,1699738909
163,pattaya,12.9333,100.8833,28.3,82,100,1.48,TH,1699738729
164,el porvenir,13.7617,-87.3458,27.63,80,71,2.0,HN,1699738667
165,prince albert,53.2001,-105.7677,2.97,65,75,6.17,CA,1699738910
166,mogok,22.9167,96.5,14.78,87,0,0.65,MM,1699738910
167,hawaiian paradise park,19.5933,-154.9731,24.85,88,100,3.6,US,1699738398
168,smithers,54.7804,-127.1743,4.18,81,100,1.54,CA,1699738910
169,la passe,45.5549,-0.8967,14.99,95,100,10.13,FR,1699738436
170,constantia,44.1833,28.65,9.38,63,51,11.99,RO,1699738294
173,kavaratti,10.5669,72.642,28.79,71,99,1.54,IN,1699738911
174,ciudad bolivar,8.1222,-63.5497,31.78,45,51,2.45,VE,1699738911
175,corinth,37.9407,22.9573,16.61,74,77,3.01,GR,1699738911
176,klina,42.6217,20.5778,9.75,78,0,1.1,XK,1699738912
177,sihanoukville,10.6093,103.5296,25.97,89,40,1.54,KH,1699738912
181,princeville,45.7668,-61.2985,4.06,93,100,1.54,CA,1699738913
182,ornskoldsvik,63.2909,18.7153,-1.47,86,100,5.14,SE,1699738913
183,vilyuchinsk,52.9306,158.4028,1.15,72,58,17.59,RU,1699738443
184,polyarnyy,69.1989,33.4478,-5.71,93,92,2.6,RU,1699738530
185,cuddalore,11.75,79.75,26.72,72,100,4.86,IN,1699738913
186,arar,30.9753,41.0381,20.01,24,0,4.12,SA,1699738913
187,cockburn town,21.4612,-71.1419,28.24,74,90,10.02,TC,1699738499
188,quang ngai,15.1167,108.8,23.62,92,9,1.96,VN,1699738914
189,jean-rabel,19.8533,-73.1917,28.91,68,38,7.65,HT,1699738914
191,fort-shevchenko,44.5086,50.263,8.99,64,18,5.77,KZ,1699738914
192,cabo san lucas,22.8909,-109.9124,30.84,57,0,5.14,MX,1699738205
194,cuneo,44.3973,7.5445,6.95,73,41,2.57,IT,1699738915
195,spas-klepiki,55.1347,40.1767,4.96,87,100,3.61,RU,1699738915
197,arteche,12.2645,125.4048,26.15,86,70,1.7,PH,1699738915
198,sittwe,20.15,92.9,22.45,82,5,2.75,MM,1699738915
199,nagqu,31.5,92.0,-5.42,61,100,5.41,CN,1699738737
